nome,duplicado_geral,duplicado_raiz,quantidade_geral,quantidade_raiz,licenca_SPDX,license_score_geral,license_score_raiz,licencas_compativeis_geral,licencas_compativeis_raiz,licencas_readme,licencas_packageJson,licencas_license,licencas_outros_arquivos,licencas_fora_da_raiz,numero_linhas
/[dthree]cash/,False,False,1,1,1,83.33,100.0,True,True,1,1,1,0,1,10393
/[tj]commander.js/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,10617
/[kkga]spacegray/,False,False,1,1,1,100.0,100.0,True,True,0,0,1,0,0,316
/[swagger-api]swagger-ui/,True,False,5,1,4,11.0,44.0,False,True,1,1,1,1,5,54981
/[NetEase]pomelo/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,11811
/[jshint]jshint/,True,True,8,3,5,16.0,16.0,False,False,2,1,1,1,7,77768
/[tmpvar]jsdom/,True,False,5,1,4,80.0,100.0,False,True,0,1,1,0,5,785207
/[ruanyf]jstraining/,True,False,6,1,5,90.0,100.0,False,False,1,0,0,0,5,41731
/[FredrikNoren]ungit/,True,False,2,1,2,71.43,71.43,True,True,1,1,1,0,2,36039
/[chriso]validator.js/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,0,14244
/[jacomyal]sigma.js/,True,False,6,1,4,16.0,100.0,False,True,0,1,1,1,6,21095
/[mobxjs]mobx/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,103278
/[senchalabs]connect/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,0,3167
/[docker]kitematic/,True,False,10,1,6,5.0,95.0,False,True,1,1,1,1,9,28758
/[ramda]ramda/,True,True,3,3,3,49.76,49.76,False,False,2,1,1,1,1,23899
/[purifycss]purifycss/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,12506
/[NodeBB]NodeBB/,True,True,12,5,8,10.77,10.77,False,False,2,0,1,4,10,172663
/[winstonjs]winston/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,14547
/[eslint]eslint/,True,True,9,4,6,5.0,5.0,False,False,0,1,1,3,7,314725
/[matthieua]WOW/,True,True,6,6,4,16.0,16.0,False,False,6,1,0,1,1,11143
/[mailcheck]mailcheck/,True,False,4,1,4,44.0,100.0,False,True,1,1,1,1,4,9549
